,term,frq_pre,frq_post,diff
547,existenz,0.00011735515021459227,1.304648462471787e-05,-0.0001043086655898744
573,geschlossen,0.00011735515021459227,1.304648462471787e-05,-0.0001043086655898744
242,alte,0.00023471030042918455,0.0001304648462471787,-0.00010424545418200585
291,bereitschaft,0.0002011802575107296,9.784863468538402e-05,-0.0001033316228253456
376,kräften,0.00016765021459227468,6.523242312358935e-05,-0.00010241779146868533
466,staatliche,0.00013412017167381974,3.2616211561794675e-05,-0.00010150396011202506
456,spreche,0.00013412017167381974,3.2616211561794675e-05,-0.00010150396011202506
449,trennen,0.00013412017167381974,3.2616211561794675e-05,-0.00010150396011202506
247,laufe,0.0002179452789699571,0.00011741836162246082,-0.00010052691734749627
428,nationen,0.00015088519313304722,5.218593849887148e-05,-9.869925463417575e-05
434,uri,0.00015088519313304722,5.218593849887148e-05,-9.869925463417575e-05
438,form,0.00015088519313304722,5.218593849887148e-05,-9.869925463417575e-05
100,mitbürgerinnen,0.00038559549356223174,0.0002870226617437931,-9.857283181843862e-05
549,bundesfeiertag,0.00011735515021459227,1.9569726937076806e-05,-9.778542327751547e-05
593,weite,0.00011735515021459227,1.9569726937076806e-05,-9.778542327751547e-05
597,ursprung,0.00011735515021459227,1.9569726937076806e-05,-9.778542327751547e-05
537,erneuerung,0.00011735515021459227,1.9569726937076806e-05,-9.778542327751547e-05
234,nationalen,0.00023471030042918455,0.00013698808855953763,-9.772221186964692e-05
295,scheint,0.0002011802575107296,0.00010437187699774296,-9.680838051298665e-05
349,voraussetzung,0.00016765021459227468,7.175566543594828e-05,-9.58945491563264e-05
369,fundament,0.00016765021459227468,7.175566543594828e-05,-9.58945491563264e-05
357,persönlichen,0.00016765021459227468,7.175566543594828e-05,-9.58945491563264e-05
58,gilt,0.0005197156652360515,0.00042401075030333075,-9.570491493272074e-05
462,eidgenössische,0.00013412017167381974,3.913945387415361e-05,-9.498071779966613e-05
478,seele,0.00013412017167381974,3.913945387415361e-05,-9.498071779966613e-05
464,angesichts,0.00013412017167381974,3.913945387415361e-05,-9.498071779966613e-05
481,wünschen,0.00013412017167381974,3.913945387415361e-05,-9.498071779966613e-05
706,erfasst,0.0001005901287553648,6.523242312358935e-06,-9.406688644300588e-05
611,zustimmung,0.0001005901287553648,6.523242312358935e-06,-9.406688644300588e-05
697,gunst,0.0001005901287553648,6.523242312358935e-06,-9.406688644300588e-05
625,gefühle,0.0001005901287553648,6.523242312358935e-06,-9.406688644300588e-05
724,zwietracht,0.0001005901287553648,6.523242312358935e-06,-9.406688644300588e-05
689,einfachheit,0.0001005901287553648,6.523242312358935e-06,-9.406688644300588e-05
329,erinnerung,0.00018441523605150216,9.132539237302509e-05,-9.308984367847707e-05
